User ID,Investment Type,Amount per 15 Days,Gross Invested,Platform Fees,Net Invested,Portfolio Value,Total Return,ROI %
60,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
61,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
62,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
63,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
64,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
65,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
66,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
67,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
68,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
69,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
70,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
71,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
72,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
73,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
74,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
75,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
76,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
77,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
78,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
79,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
80,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
81,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
82,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
83,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
84,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
85,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
86,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
87,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
88,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
89,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
90,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
91,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
92,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
93,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
94,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
95,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
96,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
97,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
98,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
99,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
100,$300/15days ($20/day),$300.00,3600.0,72.0,3528.0,3600.734937554501,72.7349375545009,2.061647889866806
